代碼,性質名稱,英文名稱,使用性質類別,類別名稱,檔級,應用特約條款,附加條款,理賠分類,再保等級,"特一
再保小類(1)","二等
再保小類(2)","頭等
再保小類(3)","特二
再保小類(4)","三等
再保小類(5)","三等
再保小類(6)",危險等級(爆炸險等級),生效起期,排序,報價常用註記,使用性質業務類別,使用性質業務類別_簽核,業務類別,使用性質第二層類別,使用性質第二層類別名稱,營業否,耐用年度類別,新使用性質代碼,新使用性質名稱,查勘分類,費率分類,常用語,常用出單代號註記,商火外部通路使用註記,SC外部通路使用註記,SC新件註記,SC續保註記
C1308A7,塑膠壓克力成品加工店(名牌、門牌、塑膠袋),,C,,22,"A1,A2,B2",SA1,C,22,2A,2A,2B,2C,2C,2C,A,01/01/2002,2267,Y,B,,Y,C1,行號商店及其堆棧(物品類),N,,,,,,,N,,,,
C1308A7,塑膠壓克力成品加工店(名牌、門牌、塑膠袋),,C,,22,"A1,A2,B2",SA1,C,22,2A,2A,2B,2C,2C,2C,A,01/01/2003,3147,Y,B,,Y,C1,行號商店及其堆棧(物品類),N,,,,,,,N,,,,
C1308A7,塑膠壓克力成品加工店(名牌、門牌、塑膠袋),,C,,22,"A1,A2,B2",SA1,C,22,2A,2A,2B,2C,2C,2C,A,01/01/2004,5796,Y,B,,Y,C1,行號商店及其堆棧(物品類),N,,,,,,,N,,,,
C1308A7,塑膠壓克力成品加工店(名牌、門牌、塑膠袋),PLASTIC IN-PROCESSING STORE,C,行號商店及其附有堆棧,28,"A1,A2,B2",SA1,C,23,2A,2A,2B,2C,2C,2C,A,01/01/2008,6920,Y,B,,Y,C1,行號商店及其堆棧(物品類),N,,,,,,,N,,,,
C1308A7,塑膠壓克力成品加工店(名牌、門牌、塑膠袋),PLASTIC IN-PROCESSING STORE,C,行號商店及其附有堆棧,19,"A1,A2,B2",SA1,C,23,2A,2A,2B,2C,2C,2C,A,03/01/2009,7272,Y,B,,Y,C1,行號商店及其堆棧(物品類),N,,,,,,,N,,,,
C1308A7,塑膠壓克力成品加工店(名牌、門牌、塑膠袋),PLASTIC IN-PROCESSING STORE,C,行號商店及其附有堆棧,14,"A1,A2,B2",SA1,C,23,2A,2A,2B,2C,2C,2C,A,11/06/2009,7893,Y,B,,Y,C1,行號商店及其堆棧(物品類),N,,,,,,,N,,,,
C1308A7,塑膠壓克力成品加工店(名牌、門牌、塑膠袋),PLASTIC IN-PROCESSING STORE,C,行號商店及其附有堆棧,10,"A1,A2,B2",SA1,C,23,2A,2A,2B,2C,2C,2C,A,11/01/2010,8519,Y,B,,Y,C1,行號商店及其堆棧(物品類),N,,,,,,,N,,,,
C1308A7,塑膠壓克力成品加工店(名牌、門牌、塑膠袋),PLASTIC IN-PROCESSING STORE,C,行號商店及其附有堆棧,11,"A1,A2,B2",SA1,C,23,2A,2A,2B,2C,2C,2C,A,11/01/2012,9200,Y,B,,Y,C1,行號商店及其堆棧(物品類),N,,,,,,,N,,,,
C1308A7,塑膠壓克力成品加工店(名牌、門牌、塑膠袋),PLASTIC IN-PROCESSING STORE,C,行號商店及其附有堆棧,10,"A1,A2,B2",SA1,C,23,2A,2A,2B,2C,2C,2C,A,04/01/2014,9899,Y,B,,Y,C1,行號商店及其堆棧(物品類),N,,,,,,,N,,,,
C1308A7,塑膠壓克力成品加工店(名牌、門牌、塑膠袋),PLASTIC IN-PROCESSING STORE,C,行號商店及其附有堆棧,11,"A1,A2,B2",SA1,C,23,2A,2A,2B,2C,2C,2C,A,06/01/2015,10581,Y,B,,Y,C1,行號商店及其堆棧(物品類),N,,,,,,,N,,,,
C1308A7,塑膠壓克力成品加工店(名牌、門牌、塑膠袋),PLASTIC IN-PROCESSING STORE,C,行號商店及其附有堆棧,19,"A1,A2,B2",SA1,C,23,2A,2A,2B,2C,2C,2C,A,06/01/2017,11262,Y,B,,Y,C1,行號商店及其堆棧(物品類),N,1,,,,,,N,,,,
C1309A4,農業及園藝機械店,AGRICULTURE MACHINERY STORE,C,行號商店及其附有堆棧,18,"A1,A2,B1",SA1,C,18,2A,2A,2B,2C,2C,2C,A,01/01/1998,730,Y,B,,Y,C7,行號商店及其堆棧(其他),N,,,,,,,N,,,,
C1309A4,農業及園藝機械店,,C,,18,"A1,A2,B1",SA1,C,18,2A,2A,2B,2C,2C,2C,A,01/01/1999,4918,Y,B,,Y,C7,行號商店及其堆棧(其他),N,,,,,,,N,,,,
C1309A4,農業及園藝機械店,,C,,18,"A1,A2,B1",SA1,C,18,2A,2A,2B,2C,2C,2C,A,01/01/2000,4034,Y,B,,Y,C7,行號商店及其堆棧(其他),N,,,,,,,N,,,,
C1309A4,農業及園藝機械店,,C,,18,"A1,A2,B1",SA1,C,18,2AA,2AA,2AB,2AC,2AD,2AD,A,01/01/2001,1373,Y,B,,Y,C7,行號商店及其堆棧(其他),N,,,,,,,N,,,,
C1309A4,農業及園藝機械店,,C,,18,"A1,A2,B1",SA1,C,18,2A,2A,2B,2C,2C,2C,A,01/01/2002,2268,Y,B,,Y,C7,行號商店及其堆棧(其他),N,,,,,,,N,,,,
C1309A4,農業及園藝機械店,,C,,18,"A1,A2,B1",SA1,C,18,2A,2A,2B,2C,2C,2C,A,01/01/2003,3148,Y,B,,Y,C7,行號商店及其堆棧(其他),N,,,,,,,N,,,,
C1309A4,農業及園藝機械店,,C,,18,"A1,A2,B1",SA1,C,18,2A,2A,2B,2C,2C,2C,A,01/01/2004,5797,Y,B,,Y,C7,行號商店及其堆棧(其他),N,,,,,,,N,,,,
C1309A4,農業及園藝機械店,AGRICULTURE MACHINERY STORE,C,行號商店及其附有堆棧,25,"A1,A2,B1",SA1,C,20,2A,2A,2B,2C,2C,2C,A,01/01/2008,6921,Y,B,,Y,C7,行號商店及其堆棧(其他),N,,,,,,,N,,,,
C1309A4,農業及園藝機械店,AGRICULTURE MACHINERY STORE,C,行號商店及其附有堆棧,17,"A1,A2,B1",SA1,C,20,2A,2A,2B,2C,2C,2C,A,03/01/2009,7273,Y,B,,Y,C7,行號商店及其堆棧(其他),N,,,,,,,N,,,,
C1309A4,農業及園藝機械店,AGRICULTURE MACHINERY STORE,C,行號商店及其附有堆棧,12,"A1,A2,B1",SA1,C,20,2A,2A,2B,2C,2C,2C,A,11/06/2009,7894,Y,B,,Y,C7,行號商店及其堆棧(其他),N,,,,,,,N,,,,
C1309A4,農業及園藝機械店,AGRICULTURE MACHINERY STORE,C,行號商店及其附有堆棧,24,"A1,A2,B1",SA1,C,20,2A,2A,2B,2C,2C,2C,A,11/01/2010,8520,Y,B,,Y,C7,行號商店及其堆棧(其他),N,,,,,,,N,,,,
C1309A4,農業及園藝機械店,AGRICULTURE MACHINERY STORE,C,行號商店及其附有堆棧,24,"A1,A2,B1",SA1,C,20,2A,2A,2B,2C,2C,2C,A,11/01/2012,9201,Y,B,,Y,C7,行號商店及其堆棧(其他),N,,,,,,,N,,,,
C1309A4,農業及園藝機械店,AGRICULTURE MACHINERY STORE,C,行號商店及其附有堆棧,21,"A1,A2,B1",SA1,C,20,2A,2A,2B,2C,2C,2C,A,04/01/2014,9900,Y,B,,Y,C7,行號商店及其堆棧(其他),N,,,,,,,N,,,,
C1309A4,農業及園藝機械店,AGRICULTURE MACHINERY STORE,C,行號商店及其附有堆棧,22,"A1,A2,B1",SA1,C,20,2A,2A,2B,2C,2C,2C,A,06/01/2015,10582,Y,B,,Y,C7,行號商店及其堆棧(其他),N,,,,,,,N,,,,
C1309A4,農業及園藝機械店,AGRICULTURE MACHINERY STORE,C,行號商店及其附有堆棧,15,"A1,A2,B1",SA1,C,20,2A,2A,2B,2C,2C,2C,A,06/01/2017,11263,Y,B,,Y,C7,行號商店及其堆棧(其他),N,1,,,,,,N,,,,
C1309B2,農業及園藝機械店,AGRICULTURE MACHINERY STORE,C,行號商店及其附有堆棧,24,A-1.2. B-2.,SA-1.,C,24,2A,2A,2B,2C,2C,2C,,01/01/1998,731,Y,A,,Y,C,行號商店及其附有堆棧,N,,,,,,,N,,,,
C1309B2,農業及園藝機械店,,C,,24,A-1.2. B-2.,SA-1.,C,24,2A,2A,2B,2C,2C,2C,,01/01/1999,4919,Y,A,,Y,C,行號商店及其附有堆棧,N,,,,,,,N,,,,
C1309B2,農業及園藝機械店,,C,,24,A-1.2. B-2.,SA-1.,C,24,2A,2A,2B,2C,2C,2C,,01/01/2000,4035,Y,A,,Y,C,行號商店及其附有堆棧,N,,,,,,,N,,,,
C1309B2,農業及園藝機械店,,C,,24,A-1.2. B-2.,SA-1.,C,24,2BA,2BA,2BB,2BC,2BD,2BD,,01/01/2001,1374,Y,A,,Y,C,行號商店及其附有堆棧,N,,,,,,,N,,,,
C1309B2,農業及園藝機械店,,C,,24,A-1.2. B-2.,SA-1.,C,24,2A,2A,2B,2C,2C,2C,,01/01/2002,2269,Y,A,,Y,C,行號商店及其附有堆棧,N,,,,,,,N,,,,
C1309B2,農業及園藝機械店,,C,,24,A-1.2. B-2.,SA-1.,C,24,2A,2A,2B,2C,2C,2C,,01/01/2003,3149,Y,A,,Y,C,行號商店及其附有堆棧,N,,,,,,,N,,,,
C1309B2,農業及園藝機械店,,C,,24,A-1.2. B-2.,SA-1.,C,24,2A,2A,2B,2C,2C,2C,,01/01/2004,5798,Y,A,,Y,C,行號商店及其附有堆棧,N,,,,,,,N,,,,
C1309C1,農業及園藝機械店,AGRICULTURE MACHINERY STORE,C,行號商店及其附有堆棧,30,A-1.2. B-2.,SA-1.,C,30,3A,3A,3B,3C,3C,3C,,01/01/1998,732,Y,A,,Y,C,行號商店及其附有堆棧,N,,,,,,,N,,,,
C1309C1,農業及園藝機械店,,C,,30,A-1.2. B-2.,SA-1.,C,30,3A,3A,3B,3C,3C,3C,,01/01/1999,4920,Y,A,,Y,C,行號商店及其附有堆棧,N,,,,,,,N,,,,
C1309C1,農業及園藝機械店,,C,,30,A-1.2. B-2.,SA-1.,C,30,3A,3A,3B,3C,3C,3C,,01/01/2000,4036,Y,A,,Y,C,行號商店及其附有堆棧,N,,,,,,,N,,,,
C1309C1,農業及園藝機械店,,C,,30,A-1.2. B-2.,SA-1.,C,30,2CA,2CA,2CB,2CC,2CD,2CD,,01/01/2001,1375,Y,A,,Y,C,行號商店及其附有堆棧,N,,,,,,,N,,,,
C1309C1,農業及園藝機械店,,C,,30,A-1.2. B-2.,SA-1.,C,30,3A,3A,3B,3C,3C,3C,,01/01/2002,2270,Y,A,,Y,C,行號商店及其附有堆棧,N,,,,,,,N,,,,
C1309C1,農業及園藝機械店,,C,,30,A-1.2. B-2.,SA-1.,C,30,3A,3A,3B,3C,3C,3C,,01/01/2003,3150,Y,A,,Y,C,行號商店及其附有堆棧,N,,,,,,,N,,,,
C1309C1,農業及園藝機械店,,C,,30,A-1.2. B-2.,SA-1.,C,30,3A,3A,3B,3C,3C,3C,,01/01/2004,5799,Y,A,,Y,C,行號商店及其附有堆棧,N,,,,,,,N,,,,
C1310A5,遊樂器專售店,ELECTRONIC GAME STORE,C,行號商店及其附有堆棧,17,"A1,A2,B1",SA1,C,17,2A,2A,2B,2C,2C,2C,A,01/01/1998,733,Y,B,,Y,C5,行號商店及其堆棧(文藝娛樂類),N,,,,,,,N,,,,
C1310A5,遊樂器專售店,,C,,17,"A1,A2,B1",SA1,C,17,2A,2A,2B,2C,2C,2C,A,01/01/1999,4921,Y,B,,Y,C5,行號商店及其堆棧(文藝娛樂類),N,,,,,,,N,,,,
C1310A5,遊樂器專售店,,C,,17,"A1,A2,B1",SA1,C,17,2A,2A,2B,2C,2C,2C,A,01/01/2000,4037,Y,B,,Y,C5,行號商店及其堆棧(文藝娛樂類),N,,,,,,,N,,,,
C1310A5,遊樂器專售店,,C,,17,"A1,A2,B1",SA1,C,17,2AA,2AA,2AB,2AC,2AD,2AD,A,01/01/2001,1376,Y,B,,Y,C5,行號商店及其堆棧(文藝娛樂類),N,,,,,,,N,,,,
C1310A5,遊樂器專售店,,C,,17,"A1,A2,B1",SA1,C,17,2A,2A,2B,2C,2C,2C,A,01/01/2002,2271,Y,B,,Y,C5,行號商店及其堆棧(文藝娛樂類),N,,,,,,,N,,,,
C1310A5,遊樂器專售店,,C,,17,"A1,A2,B1",SA1,C,17,2A,2A,2B,2C,2C,2C,A,01/01/2003,3151,Y,B,,Y,C5,行號商店及其堆棧(文藝娛樂類),N,,,,,,,N,,,,
C1310A5,遊樂器專售店,,C,,17,"A1,A2,B1",SA1,C,17,2A,2A,2B,2C,2C,2C,A,01/01/2004,5800,Y,B,,Y,C5,行號商店及其堆棧(文藝娛樂類),N,,,,,,,N,,,,
C1310A5,遊樂器專售店,ELECTRONIC GAME STORE,C,行號商店及其附有堆棧,23,"A1,A2,B1",SA1,C,19,2A,2A,2B,2C,2C,2C,A,01/01/2008,6922,Y,B,,Y,C5,行號商店及其堆棧(文藝娛樂類),N,,,,,,,N,,,,
C1310A5,遊樂器專售店,ELECTRONIC GAME STORE,C,行號商店及其附有堆棧,16,"A1,A2,B1",SA1,C,19,2A,2A,2B,2C,2C,2C,A,03/01/2009,7274,Y,B,,Y,C5,行號商店及其堆棧(文藝娛樂類),N,,,,,,,N,,,,
C1310A5,遊樂器專售店,ELECTRONIC GAME STORE,C,行號商店及其附有堆棧,10,"A1,A2,B1",SA1,C,19,2A,2A,2B,2C,2C,2C,A,11/06/2009,7895,Y,B,,Y,C5,行號商店及其堆棧(文藝娛樂類),N,,,,,,,N,,,,
C1310A5,遊樂器專售店,ELECTRONIC GAME STORE,C,行號商店及其附有堆棧,6,"A1,A2,B1",SA1,C,19,2A,2A,2B,2C,2C,2C,A,11/01/2010,8521,Y,B,,Y,C5,行號商店及其堆棧(文藝娛樂類),N,,,,,,,N,,,,
C1310A5,遊樂器專售店,ELECTRONIC GAME STORE,C,行號商店及其附有堆棧,7,"A1,A2,B1",SA1,C,19,2A,2A,2B,2C,2C,2C,A,11/01/2012,9202,Y,B,,Y,C5,行號商店及其堆棧(文藝娛樂類),N,,,,,,,N,,,,
C1310A5,遊樂器專售店,ELECTRONIC GAME STORE,C,行號商店及其附有堆棧,7,"A1,A2,B1",SA1,C,19,2A,2A,2B,2C,2C,2C,A,04/01/2014,9901,Y,B,,Y,C5,行號商店及其堆棧(文藝娛樂類),N,,,,,,,N,,,,
C1310A5,遊樂器專售店,ELECTRONIC GAME STORE,C,行號商店及其附有堆棧,8,"A1,A2,B1",SA1,C,19,2A,2A,2B,2C,2C,2C,A,06/01/2015,10583,Y,B,,Y,C5,行號商店及其堆棧(文藝娛樂類),N,,,,,,,N,,,,
C1310A5,遊樂器專售店,ELECTRONIC GAME STORE,C,行號商店及其附有堆棧,14,"A1,A2,B1",SA1,C,19,2A,2A,2B,2C,2C,2C,A,06/01/2017,11264,Y,B,,Y,C5,行號商店及其堆棧(文藝娛樂類),N,1,,,,,,N,,,,
C1401A1,熔焊店,MELTING STORE,C,行號商店及其附有堆棧,31,"A1,A2,B2",SA1,C,30,3A,3A,3B,3C,3C,3C,A,01/01/1998,734,Y,C,,Y,C7,行號商店及其堆棧(其他),N,,,,,,,N,,,,
C1401A1,熔焊店,,C,,31,"A1,A2,B2",SA1,C,30,3A,3A,3B,3C,3C,3C,A,01/01/1999,4922,Y,C,,Y,C7,行號商店及其堆棧(其他),N,,,,,,,N,,,,
C1401A1,熔焊店,,C,,31,"A1,A2,B2",SA1,C,30,3A,3A,3B,3C,3C,3C,A,01/01/2000,4038,Y,C,,Y,C7,行號商店及其堆棧(其他),N,,,,,,,N,,,,
C1401A1,熔焊店,,C,,31,"A1,A2,B2",SA1,C,30,2CA,2CA,2CB,2CC,2CA,2CA,A,01/01/2001,1377,Y,C,,Y,C7,行號商店及其堆棧(其他),N,,,,,,,N,,,,
