版本別,行業代號,層級,行業名稱,定義,大業別,備註
8,A,大,農、林、漁、牧業,從事農作物栽培、畜牧、農事及畜牧服務、造林、伐木及採集、漁撈及水產養殖等之行業。,A,
8,B,大,礦業及土石採取業,從事石油、天然氣、砂、石及黏土等礦物及土石之探勘、採取、初步處理（如碎解、洗選等處理作業）及準備作業（如除土、開坑、掘鑿等礦場工程）等之行業。,B,
8,C,大,製造業,從事以物理或化學方法，將材料、物質或零組件轉變成新產品，不論使用動力機械或人力，在工廠內或在家中作業，均歸入製造業；例外情形列舉如負面表列第1至第7項。此外，產品實質改造、翻新、重製作業、組件組裝、產業機械及設備之維修與安裝亦歸入本類；而機械設備之專用零組件製造與其所屬機械設備主體製造原則上歸入同一類別；非專用零組件如原動機、活塞、電動機、電器配件、活閥、齒輪、軸承等製造，則依性質分別歸入適當類別。惟以鑄模、擠壓等方法製造之塑膠零配件則歸入2203細類「塑膠外殼及配件製造業」。,C,
8,D,大,電力及燃氣供應業,從事電力、氣體燃料及蒸汽供應之行業。,D,
8,E,大,用水供應及污染整治業,從事用水供應、廢水及污水處理、廢棄物清除及處理、污染整治之行業；資源回收物分類及處理成再生原料亦歸入本類。,E,
8,F,大,營建工程業,從事建築及土木工程之興建、改建、修繕等及其專門營造之行業；附操作員之營造設備租賃亦歸入本類。,F,
8,G,大,批發及零售業,從事有形商品之批發、零售、經紀及代理之行業；銷售商品所附帶不改變商品本質之簡單處理，如包裝、清洗、分級、摻混、運送、安裝、修理等亦歸入本類。,G,
8,H,大,運輸及倉儲業,從事以運輸工具提供客貨運輸及其運輸輔助、倉儲、郵政及快遞之行業；附駕駛之運輸設備租賃亦歸入本類。,H,
8,I,大,住宿及餐飲業,從事短期或臨時性住宿服務及餐飲服務之行業。,I,
8,J,大,出版、影音製作、傳播及資通訊服務業,從事出版、影片及電視節目製作、後製、發行與影片放映，聲音錄製及音樂發行，廣播及電視節目編排與傳播，電信、電腦程式設計、諮詢及相關服務、資訊服務等之行業。,J,
8,K,大,金融及保險業,從事金融服務、保險、證券期貨及金融輔助等活動之行業。,K,
8,L,大,不動產業,從事不動產開發、經營及相關服務之行業。,L,
8,M,大,專業、科學及技術服務業,從事專業、科學及技術服務之行業，如法律及會計、企業管理及管理顧問、建築及工程服務、技術檢測及分析、研究發展、廣告及市場研究、專門設計及獸醫服務等。,M,
8,N,大,支援服務業,從事支援企業或組織營運之例行性活動（少部分服務家庭）之行業，如租賃、人力仲介及供應、旅行及相關服務、保全及偵探、建築物及綠化服務、行政支援服務等。,N,
8,O,大,公共行政及國防；強制性社會安全,提供公共行政管理與服務之政府機關、民意機關及國防事務等；強制性社會安全事務、享有特權及豁免權之國際組織及外國機構亦歸入本類。,O,
8,P,大,教育業,從事正規教育體制內之各級學校與體制外之教育服務，以及教育輔助服務之行業；軍事學校及法務機構附設學校亦歸入本類。,P,
8,Q,大,醫療保健及社會工作服務業,從事醫療保健及社會工作服務之行業。,Q,
8,R,大,藝術、娛樂及休閒服務業,從事創作及藝術表演，經營圖書館、檔案保存、博物館及類似機構，博弈、運動、娛樂及休閒服務等之行業。,R,
8,S,大,其他服務業,從事G至R大類以外服務之行業，如宗教、職業及類似組織、個人及家庭用品維修、洗衣、美髮及美容美體、殯葬及相關服務、家事服務等。,S,
8,01,中,農、牧業,從事農作物栽培、畜禽飼育及放牧、農事及畜牧服務等之行業。,A,
8,02,中,林業,從事造林、伐木、林間野生物及昆蟲採捕、林業輔助服務如森林資源估測等之行業；在林地以簡易炭窯燒製木（竹）炭亦歸入本類。,A,
8,03,中,漁業,從事水產生物採捕或養殖之行業。,A,
8,05,中,石油及天然氣礦業,從事石油及天然氣之探勘、採取、初步處理及準備作業等之行業；從事頁岩油或瀝青砂開採、油田或天然氣田生產之碳氫化合物中分離提取液態烴，以及油氣井設備安裝亦歸入本類。,B,
8,06,中,砂、石採取及其他礦業,從事砂、石、黏土及其他礦物之探勘、採取、初步處理及準備作業等之行業，如砂（含矽砂）、礫、大理石、石灰石、蛇紋石、花崗岩、砂岩、石膏、黏土、瓷土、金屬礦、硫磺礦、玉礦及水晶礦等採取。,B,
8,08,中,食品及飼品製造業,從事將農、林、漁、牧業產品處理成食品及飼品之行業，如肉類、水產及蔬果之加工及保藏、動植物油脂、乳品、碾穀、磨粉及澱粉製品與動物飼品等製造。,C,
8,09,中,飲料製造業,從事飲料製造之行業。,C,
8,10,中,菸草製造業,從事以菸草或菸草代用品作為原料，製造可供吸用、嚼用、含用或聞用等菸草製品之行業。,C,
8,11,中,紡織業,從事紡織之行業，如紡紗、織布、染整及紡織品製造等。,C,
8,12,中,成衣及服飾品製造業,從事成衣及服飾品製造之行業；以皮革、毛皮製造成衣及服飾品亦歸入本類。,C,
8,13,中,皮革、毛皮及其製品製造業,從事皮革與毛皮整製，以及鞋類、行李箱、手提袋等皮革、毛皮製品製造之行業；以仿皮革或皮革替代品為原料製造者亦歸入本類。,C,
8,14,中,木竹製品製造業,從事以木、竹、藤、柳條、軟木、草等製成材料、半成品或成品之行業。,C,
8,15,中,紙漿、紙及紙製品製造業,從事紙漿、紙張、紙板及其製品製造之行業。,C,
8,16,中,印刷及資料儲存媒體複製業,從事製版、印刷、裝訂、其他印刷輔助及資料儲存媒體複製之行業。,C,
8,17,中,石油及煤製品製造業,從事將原油及煤製成可用產品之行業，包括以裂解、蒸餾等技術將原油分離出燃料氣、汽油、輕油（石油腦）、煤油、柴油等石油精煉產品，以及生產半焦炭、焦炭、煤焦油等產品；製造生質汽（柴）油之行業亦歸入本類。,C,
8,18,中,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,從事化學原材料、肥料及氮化合物、塑膠及合成橡膠原料、人造纖維等製造之行業。,C,
8,19,中,其他化學製品製造業,從事農藥及環境用藥、塗料染料及顏料、清潔用品及化粧品等製造之行業。,C,
8,20,中,藥品及醫用化學製品製造業,從事原料藥、西藥、醫用生物製品、中藥及醫用化學製品等製造之行業。,C,
8,21,中,橡膠製品製造業,從事橡膠製品製造之行業。,C,
8,22,中,塑膠製品製造業,從事塑膠製品製造之行業。,C,
8,23,中,非金屬礦物製品製造業,從事石油及煤以外非金屬礦物製品製造之行業。,C,
8,24,中,基本金屬製造業,從事以冶鍊、鑄造、軋延、擠型、伸線等方式製造金屬板、條、棒、管、線等基本金屬製品之行業。,C,
8,25,中,金屬製品製造業,從事金屬刀具、手工具、金屬模具、金屬結構及建築組件、金屬容器、金屬加工處理及其他金屬製品製造之行業。,C,
8,26,中,電子零組件製造業,從事半導體、被動電子元件、印刷電路板、光電材料及元件等電子零組件製造之行業。,C,
8,27,中,電腦、電子產品及光學製品製造業,從事電腦及其週邊設備、通訊傳播設備、視聽電子產品、資料儲存媒體、量測設備、導航設備、控制設備、鐘錶、輻射設備、電子醫學設備、光學儀器及設備等製造之行業。,C,
8,28,中,電力設備及配備製造業,從事發電、輸電、配電機械、電池、電線及配線器材、照明設備及配備、家用電器等電力設備及配備製造之行業。,C,
8,29,中,機械設備製造業,從事產業專用及通用機械設備製造之行業；機械設備專用之主要零組件製造原則上亦歸入本類。,C,
8,30,中,汽車及其零件製造業,從事汽車及其專用零配件製造之行業。,C,
8,31,中,其他運輸工具及其零件製造業,從事汽車以外其他運輸工具及其專用零配件製造之行業。,C,
8,32,中,家具製造業,從事各種材質（陶瓷、水泥及石材除外）之家具及裝設品製造之行業。本類家具可用於家庭、辦公室、學校、實驗室、旅館、餐廳、電影院等場所；家具之表面塗裝亦歸入本類。,C,
8,33,中,其他製造業,從事08至32中類以外製品製造之行業；本中類製品差異較大，無法依其主要材料或製程歸屬，如育樂用品、醫療器材及用品、珠寶等製造。,C,
